block_number,parcel_num,money,appraisal_date
71,26,3850,6/25/1968
48,22,5700,6/25/1968
55,25,500,6/25/1968
32,16,7500,6/25/1968
4,17,44000,6/25/1968
27,29,8600,6/25/1968
17,31,10000,6/25/1968
4,24,10500,6/25/1968
43,5,5250,6/25/1968
11,17,225,6/25/1968
2,2,48150,6/25/1968
38,6,6000,6/25/1968
46,5,6500,6/25/1968
16,15,4650,6/25/1968
47,7,33500,6/25/1968
11,7,750,6/25/1968
6,75,200,6/25/1968
32,15,7100,6/25/1968
50,1,4250,6/25/1968
55,19,6700,9/30/1968
6,15,1075,9/30/1968
1,51,11000,9/30/1968
4,23,8750,9/30/1968
6,40,7500,9/30/1968
53,11,700,9/30/1968
30,18,12000,9/30/1968
37,9,1150,9/30/1968
45,29,8050,9/30/1968
27,26,2500,9/30/1968
5,18,6200,9/30/1968
5,17,7250,9/30/1968
44,13,2500,9/30/1968
55,21,4500,9/30/1968
10,15,400,9/30/1968
35,1,40140,9/30/1968
11,36,700,9/30/1968
49,13,1550,9/30/1968
44,15,2450,9/30/1968
31,32,7000,9/30/1968
55,51,550,9/30/1968
40,10,6600,9/30/1968
27,24A,8000,9/30/1968
40,11,8600,9/30/1968
55,49,3000,9/30/1968
55,43,3500,9/30/1968
50,9,6000,9/16/1968
34,1,3500,9/16/1968
50,6,1500,9/16/1968
55,16,3500,9/16/1968
40,21,14500,9/16/1968
36,8,1000,9/16/1968
30,25,1300,9/16/1968
40,5,-,9/16/1968
71,2,5000,9/16/1968
6,66,125,9/16/1968
47,6,1980,9/16/1968
58,6,6000,9/16/1968
43,30,7500,9/16/1968
49,8,700,9/16/1968
60,10,300,9/16/1968
45,24,5800,9/16/1968
34,11,850,9/16/1968
60,4,4500,9/16/1968
57,13,750,8/16/1967
15,18,250,8/16/1967
52,3,4000,8/16/1967
29,13,5800,8/16/1967
4,14,4150,8/16/1967
53,15B,2258.07,8/16/1967
37,7,5200,8/16/1967
11,37,2000,8/16/1967
50,20,5000,8/16/1967
35,8,1500,8/16/1967
59,13B,700,8/16/1967
28,11,16000,8/16/1967
5,23,3500,8/16/1967
40,27,1750,8/16/1967
11,41,450,8/16/1967
10,16,150,8/16/1967
5,22,3500,8/16/1967
17,6,11000,8/16/1967
27,27,1800,8/16/1967
45,33,4000,8/16/1967
44,4,3500,10/28/1968
28,13,7850,10/28/1968
55,41,8400,10/28/1968
2,1,49300,10/28/1968
44,22,2900,10/28/1968
40,26,14000,10/28/1968
3,22,4400,10/28/1968
3,23,7800,10/28/1968
48,23,500,10/28/1968
18,5,4500,10/28/1968
1,4,46000,8/7/1968
31,20,5500,8/7/1968
1,39,3000,8/7/1968
16,9,6500,8/7/1968
1,18,4300,8/7/1968
45,20,1100,8/7/1968
6,58,14500,8/7/1968
11,3,994,8/7/1968
6,77,11000,8/7/1968
45,17,2500,8/7/1968
55,20,6500,8/7/1968
47,25,7500,8/7/1968
17,33,6500,8/7/1968
17,14,75,8/7/1968
57,11,4800,8/7/1968
44,18,2900,5/28/1968
55,22,3000,5/28/1968
29,25,7500,5/28/1968
34,2,4500,5/28/1968
30,39A,-,5/28/1968
48,4,3000,5/28/1968
48,28,3750,5/28/1968
33,11,6000,5/28/1968
11,35,1000,5/28/1968
28,15,6500,5/28/1968
6,57,800,5/28/1968
11,8,5000,5/28/1968
35,7,3300,5/28/1968
16,16,10800,5/28/1968
40,15,5125,5/28/1968
29,12,10500,5/28/1968
17,29,6000,5/28/1968
14,14,1500,5/28/1968
6,7,9000,5/28/1968
27,2,700,5/28/1968
71,10,2650,5/28/1968
44,12,3000,5/28/1968
71,4,1800,5/28/1968
71,25,450,5/28/1968
71,11,4000,5/28/1968
59,13A,4700,5/28/1968
6,68,6250,5/28/1968
14,13,1200,5/28/1968
44,5,40250,5/28/1968
1,16,2250,5/28/1968
32,6,1150,5/28/1968
55,15,11600,5/28/1968
1,6,40000,5/28/1968
11,18,150,5/28/1968
28,12,5500,5/28/1968
4,5,6700,5/28/1968
27,10,2000,5/28/1968
55,1,5000,5/28/1968
40,28,6000,5/28/1968
15,12,5000,5/28/1968
36,7,3750,5/28/1968
3,6,7650,5/28/1968
3,10,4500,5/28/1968
11,42,1050,5/28/1968
1,38,6500,5/28/1968
39,15A,7000,5/28/1968
46,2,76000,5/28/1968
39,16,5500,5/28/1968
1,50,17000,5/28/1968
6,79,10150,5/28/1968
5,21,4800,5/28/1968
45,10,4000,5/28/1968
50,7,3000,3/11/1970
60,3,1550,3/11/1970
57,12,8000,3/11/1970
44,16,3500,3/11/1970
49,5,5000,3/11/1970
3,9,9000,7/16/1968
47,4,4670,7/16/1968
55,27,800,7/16/1968
4,1,8700,7/16/1968
59,2,4800,7/16/1968
27,22,4000,7/16/1968
55,3,-,7/16/1968
35,3,500,7/16/1968
4,2,7600,7/16/1968
6,42,8700,7/16/1968
1,33,2250,7/16/1968
42,13,8000,7/16/1968
16,5,7000,7/16/1968
49,2,750,7/16/1968
48,1,7000,7/19/1968
55,35,3800,7/19/1968
11,15,2000,7/19/1968
6,38,17000,9/6/1968
1,36,6500,9/6/1968
28,4,6150,9/6/1968
43,23,-,9/6/1968
41,8,5000,9/6/1968
45,27,6400,9/6/1968
46,13,6500,9/6/1968
72,7,1700,9/6/1968
44,9,5000,9/6/1968
44,2,3750,9/6/1968
34,6,1350,9/6/1968
55,37,3000,9/6/1968
1,37,600,9/6/1968
37,8,6500,9/6/1968
15,14,6200,9/6/1968
28,18,9700,9/6/1968
6,60,4000,9/6/1968
71,32,800,9/6/1968
71,24,7500,9/6/1968
11,6,400,9/6/1968
45,26,750,9/26/1968
1,17,4000,9/26/1968
17,17,10500,9/26/1968
34,5,6000,9/26/1968
47,13,7245,9/26/1968
6,37,8200,9/26/1968
46,12,8500,9/26/1968
6,4,11000,9/26/1968
40,16,14500,9/26/1968
47,17,7750,9/26/1968
27,6,6800,10/25/1974
4,22,11300,10/25/1974
34,9,800,10/25/1974
31,21,8300,10/25/1974
44,7,10000,10/25/1974
27,25,4700,10/25/1974
45,28,2800,10/25/1974
55,14,4600,8/7/1968
43,12,10500,8/7/1968
40,23,33000,8/7/1968
16,17,13000,8/7/1968
53,3,1161.24,8/7/1968
11,40,300,8/7/1968
59,12,500,8/7/1968
30,24,500,4/18/1974
37,11,2400,4/3/1975
71,18,9400,8/3/1968
17,23,6000,8/3/1968
47,19,5900,8/3/1968
3,3,6600,8/3/1968
5,27,7000,8/3/1968
55,26,6000,8/3/1968
43,15,1000,8/3/1968
60,7,6300,8/3/1968
61,16,1250,8/3/1968
43,17,5500,8/3/1968
46,18,6600,8/3/1968
6,52,5500,8/3/1968
14,16,650,8/3/1968
46,4,5600,8/3/1968
11,28,2500,8/3/1968
46,3,1160,8/3/1968
50,17,400,8/3/1968
55,46,3000,8/3/1968
5,13,4800,8/3/1968
27,7,5500,8/3/1968
16,8,7000,8/3/1968
43,10,6250,8/3/1968
57,14,5000,8/3/1968
55,7,350,8/3/1968
5,24,5300,8/3/1968
45,31,3750,8/3/1968
49,15,167000,8/3/1968
72,5,10000,8/3/1968
47,22,7500,8/3/1968
36,1,5625,8/3/1968
11,45,3000,8/3/1968
59,14,5000,7/15/1968
16,3,6500,7/15/1968
49,17,300,7/15/1968
5,26,6000,7/15/1968
1,5,8000,7/15/1968
44,3,7000,7/15/1968
47,2,2500,7/15/1968
3,7,3000,7/15/1968
1,24,8000,7/15/1968
29,21,5350,7/15/1968
43,24,11750,N/A
44,20,2900,N/A
5,5,9300,N/A
52,5,4000,N/A
57,1,-,N/A
55,18,6500,N/A
17,1,5800,N/A
1,13,9950,N/A
52,7,4000,N/A
17,5,4000,8/16/1974
71,19,3025,8/16/1974
